,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Side Lying Hip Adduction,Beginner,Adductors,Bodyweight,Side Lying,No Arms,Continuous,No Grip,Single Exercise,Compound
,Superband Hollow Body Hold,Intermediate,Abdominals,Superband,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Y Raise,Beginner,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Slider Single Leg Eccentric Hamstring Curl ,Intermediate,Hamstrings,Sliders,Supine,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Barbell Reverse Grip Bench Press,Intermediate,Chest,Barbell,Supine,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Dumbbell Reverse Grip Bench Press,Novice,Chest,Dumbbell,Supine,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Side Plank Superband Hanging Adduction,Intermediate,Adductors,Superband,Side Plank,Single Arm,Continuous,Flat Palm,Single Exercise,Isolation
,Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Cable,Seated Floor,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Resistance Band,Half Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Feet Elevated Frog Pump,Novice,Glutes,Stability Ball,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Feet Elevated Frog Pump With Miniband,Novice,Glutes,Stability Ball,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Barbell Overhead Cyclist Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Cyclist Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Cyclist Thruster,Intermediate,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Tactical Snatch,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Alternating Single Arm Landmine Thruster,Intermediate,Shoulders,Landmine,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Cyclist Thruster,Intermediate,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Landmine Cyclist Thruster,Advanced,Shoulders,Landmine,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Barbell Low Bar Cyclist Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Low Bar Pause Cyclist Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Snatch to Overhead Reverse Lunge,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Snatch to Overhead Reverse Lunge,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Clean to Front Rack Reverse Lunge,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Double Kettlebell Clean to Front Rack Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Kettlebell Split Jerk,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Split Jerk,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Front Rack Squat,Advanced,Glutes,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Tactical Snatch ,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Kettlebell,Seated Floor,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Kettlebell,Seated Floor,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Sots Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Double Kettlebell Sots Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Alternating Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Seesaw Sots Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Seesaw Sots Press,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Alternating Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Seated Floor,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Seesaw Z Press,Novice,Shoulders,Kettlebell,Seated Floor,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Seesaw Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Seesaw Z Press,Intermediate,Shoulders,Kettlebell,Seated Floor,Double Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Alternating Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Alternating Single Arm Kettlebell Around the World High Catch,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch,Intermediate,Abdominals,Kettlebell,Tall Kneeling,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Around the World,Novice,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Around the World,Novice,Abdominals,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Tall Kneeling Around the World,Novice,Abdominals,Kettlebell,Tall Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Tall Kneeling Around the World,Novice,Abdominals,Kettlebell,Tall Kneeling,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Standing,Single Arm,Continuous,Waiter Hold,Single Exercise,Compound
,Single Arm Kettlebell Waiter Clean Hot Potato,Advanced,Glutes,Kettlebell,Standing,Single Arm,Continuous,Waiter Hold,Single Exercise,Compound
,Alternating Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold,Single Exercise,Compound
,Double Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold,Single Exercise,Compound
,Kettlebell Swing to Alternating Single Arm Waiter Hold,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold,Combo Exercise,Compound
,Double Kettlebell Waiter Clean to Overhead Press,Advanced,Glutes,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold,Combo Exercise,Compound
,Single Arm Kettlebell Tactical Waiter Clean,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold,Single Exercise,Compound
,Single Arm Kettlebell Tactical Waiter Clean to Overhead Press,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold,Combo Exercise,Compound
,Double Kettlebell Waiter Clean to Alternating Overhead Press,Advanced,Glutes,Kettlebell,Standing,Double Arm,Alternating,Waiter Hold,Combo Exercise,Compound
,Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Kettlebell,Standing,Single Arm,Continuous,Waiter Hold,Single Exercise,Compound
,Alternating Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold,Single Exercise,Compound
,Single Arm Kettlebell Tactical Waiter Snatch,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold,Single Exercise,Compound
,Double Kettlebell Waiter Snatch,Advanced,Glutes,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold,Single Exercise,Compound
,Double Kettlebell Waiter Clean to Thruster,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold,Combo Exercise,Compound
,Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Side Press,Intermediate,Shoulders,Kettlebell,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Alternating Double Kettlebell Bottoms Up Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Double Kettlebell Push Up to L Sit,Expert,Chest,Kettlebell,Prone,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Parallette Push Up to L Sit,Advanced,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Advanced,Abdominals,Kettlebell,Half Kneeling,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,Intermediate,Abdominals,Kettlebell,Half Kneeling,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Start Stop Squat Clean Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Start Stop Squat Clean Thruster,Advanced,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Start Stop Squat Clean Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Single Leg Standing Bent Knee Overhead Press,Expert,Shoulders,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Bent Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Bent Press,Advanced,Shoulders,Barbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Around the World High Catch to Squat,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Alternating Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Knee Over Toes Split Squat,Advanced,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Overhead Knee Over Toes Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Overhead Knee Over Toes Split Squat,Advanced,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Barbell Overhead Bulgarian Split Squat ,Advanced,Quadriceps,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Bulgarian Split Squat Thruster,Advanced,Shoulders,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Barbell Overhead Bulgarian Split Squat ,Expert,Quadriceps,Barbell,Single Leg Supported,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up Horn Grip,Combo Exercise,Compound
,Double Kettlebell Overhead Pistol Squat,Expert,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Pistol Squat,Expert,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Pistol Squat,Expert,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Standing Wall Angels,Beginner,Shoulders,Bodyweight,Standing,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Double Kettlebell Clean to Sots Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Sots Press,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Plate Lu Raise,Novice,Shoulders,Weight Plate,Standing,Double Arm,Continuous,Other,Single Exercise,Compound
,Single Arm Plate Windmill,Advanced,Abdominals,Weight Plate,Standing,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Single Arm Plate Turkish Get Up,Advanced,Abdominals,Weight Plate,Supine,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Plate Steering Wheel,Novice,Shoulders,Weight Plate,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Kettlebell Half Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,Half Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Kettlebell Tall Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,Tall Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Shoulders,Kettlebell,Tall Kneeling,Double Arm,Alternating,Bottoms Up Horn Grip,Single Exercise,Compound
,Double Kettlebell Clean to Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Single Leg Standing Bent Knee Overhead Press,Intermediate,Shoulders,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,Advanced,Shoulders,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,Intermediate,Shoulders,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Single Leg Standing Bent Knee Reverse Fly,Intermediate,Shoulders,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Reverse Fly,Beginner,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Single Leg Standing Bent Knee Y Raise,Intermediate,Shoulders,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Single Leg Standing Bent Knee Face Pull,Intermediate,Shoulders,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,Intermediate,Shoulders,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Advanced,Shoulders,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Bulgarian Split Squat Thruster ,Advanced,Shoulders,Kettlebell,Single Leg Supported,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,Advanced,Shoulders,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,Advanced,Shoulders,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Barbell Overhead Pistol Squat,Expert,Quadriceps,Barbell,Single Leg Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Cuban Press,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Single Leg Standing Bent Knee Cuban Press,Intermediate,Shoulders,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Turkish Get Up,Advanced,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Overhead Knee Over Toes Split Squat,Expert,Quadriceps,Barbell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Knee Over Toes Split Squat Thruster,Expert,Shoulders,Barbell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Barbell Knee Over Toes Split Squat Thruster,Advanced,Shoulders,Barbell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Knee Over Toes Split Squat Thruster,Advanced,Shoulders,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Knee Over Toes Split Squat Thruster,Advanced,Shoulders,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Knee Over Toes Split Squat ,Advanced,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Knee Over Toes Split Squat Thruster,Advanced,Shoulders,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Single Arm Barbell Bulgarian Split Squat Thruster,Expert,Shoulders,Barbell,Single Leg Supported,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Barbell Windmill,Expert,Abdominals,Barbell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Bodyweight Bent Leg Windmill,Novice,Abdominals,Bodyweight,Standing,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Bodyweight Windmill,Novice,Abdominals,Bodyweight,Standing,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Superband Half Knee Hover Pallof Press,Intermediate,Abdominals,Superband,Half Knee Hover,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Barbell Turkish Get Up,Expert,Abdominals,Barbell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Single Leg Standing Bent Knee Contralateral Overhead Press ,Expert,Shoulders,Barbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Single Leg Standing Bent Knee Ipsilateral Overhead Press,Expert,Shoulders,Barbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Double Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Half Kneeling Dead Clean,Intermediate,Glutes,Kettlebell,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Clean,Intermediate,Glutes,Kettlebell,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Snatch,Intermediate,Glutes,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Squat to Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Kettlebell Bottoms Up Horn Grip Toe Balance Squat,Intermediate,Quadriceps,Kettlebell,Toe Balance Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Single Arm Contralateral Single Leg Push Up,Expert,Chest,Bodyweight,Prone,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Single Arm Barbell Overhead Toe Balance Squat,Expert,Quadriceps,Barbell,Toe Balance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Toe Balance Squat,Advanced,Quadriceps,Barbell,Toe Balance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Dead Squat Clean,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Dead Squat Clean,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Kneeling Rollout,Intermediate,Abdominals,Gymnastic Rings,Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Ring Kneeling Rollout,Advanced,Abdominals,Gymnastic Rings,Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Standing Rollout,Advanced,Abdominals,Gymnastic Rings,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Alternating Single Arm Reach Push Up,Advanced,Chest,Gymnastic Rings,Prone,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Ring L Sit Dips,Advanced,Triceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Kettlebell Goblet Cyclist Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Kettlebell Bottoms Up Horn Grip Cyclist Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Double Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
